Calendar,Council on Environmental Quality,1/23/17,Ted A. Boling,,,EPA Coordination,,,,,
Calendar,Council on Environmental Quality,1/23/17,Ted A. Boling,Padmaja Vempaty,,Discuss National Environmental Policy Act (NEPA) and NCEH/CDD responsibilities,,,,,
Calendar,Council on Environmental Quality,1/24/17,Ted A. Boling,Angela F. Colamaria,,Infrastructure Working Group Meeting,,,,,
Calendar,Council on Environmental Quality,1/25/17,Ted A. Boling,Judy Garber,,"Judy Barber, acting Assistant Secretary for Oceans, Environment and Science",,,,,
Calendar,Council on Environmental Quality,1/26/17,Ted A. Boling,,,CEQ Touch-base,,,,,
Calendar,Council on Environmental Quality,1/26/17,Ted A. Boling,Dee S. Siegel,,OFS / EO,,,,,
Calendar,Council on Environmental Quality,1/26/17,Ted A. Boling,Joseph D. Cecchini,,CEQ Meeting with DON,,,,,
Calendar,Council on Environmental Quality,1/26/17,Ted A. Boling,Sophie R. Godfrey-McKee,,Discussion: CEQ letter on Surry-Skiffes Creek project,,,,,
Calendar,Council on Environmental Quality,1/27/17,Ted A. Boling,,,Carol Borgstrom Retirement Party,,,,,
Calendar,Council on Environmental Quality,1/27/17,Ted A. Boling,,,Michelle Moore,,,,,
Calendar,Council on Environmental Quality,1/27/17,Ted A. Boling,Angela F. Colamaria,,Discussion -- EPA Comments on Best Practices Report,,,,,
Calendar,Council on Environmental Quality,1/30/17,Ted A. Boling,,,Michael Smith,,,,,
Calendar,Council on Environmental Quality,1/30/17,Ted A. Boling,Angela F. Colamaria,,Call with CEQ to discuss CEQ infrastructure memo,,,,,
Calendar,Council on Environmental Quality,1/30/17,Ted A. Boling,Michael Michael,,CEQ - EPA Coordination,,,,,
Calendar,Council on Environmental Quality,1/30/17,Ted A. Boling,Michael R. Drummond,,Discuss Infrastructure EO and Priority Projects,,,,,
Calendar,Council on Environmental Quality,1/31/17,Ted A. Boling,Angela F. Colamaria,,Infrastructure Working Group Meeting,,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,,,"Invitation: Prep for Hill mtg tomorrow @ Wed Feb 1, 2017 3pm - 3:30pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,,,Arctic EIA,,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,,,EO 13766,,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,,,FW: Transportation Rapid Response Team meeting,,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,,,TRRT,,,,,
Calendar,Council on Environmental Quality,2/1/17,Ted A. Boling,Martin Jeffries,,"Martin Jeffries, PhD",,,,,
Calendar,Council on Environmental Quality,2/10/17,Ted A. Boling,,,"Kelly Johnson, et al.",,,,,
Calendar,Council on Environmental Quality,2/10/17,Ted A. Boling,,,ALI Environmental Law,,,,,
Calendar,Council on Environmental Quality,2/10/17,Ted A. Boling,,,FAST-41 & EO 13766,,,,,
Calendar,Council on Environmental Quality,2/10/17,Ted A. Boling,Angela F. Colamaria,,Meeting with EOP Infrastructure-related entities,,,,,
Calendar,Council on Environmental Quality,2/13/17,Ted A. Boling,,,EPA Coordination,,,,,
Calendar,Council on Environmental Quality,2/13/17,Ted A. Boling,,,Moving Meeting,,,,,
Calendar,Council on Environmental Quality,2/13/17,Ted A. Boling,,,Rhonda Solomon,,,,,
Calendar,Council on Environmental Quality,2/14/17,Ted A. Boling,,,428 List,,,,,
Calendar,Council on Environmental Quality,2/14/17,Ted A. Boling,,,Anshutz Corporation projects,,,,,
Calendar,Council on Environmental Quality,2/14/17,Ted A. Boling,,,IEP Evaluation,,,,,
Calendar,Council on Environmental Quality,2/14/17,Ted A. Boling,Angela F. Colamaria,,Infrastructure Working Group Meeting,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,,,"Invitation: Offshore Wind Permitting Subgroup Webinar @ Wed Feb 15, 2017 1pm - 2pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,,,Ecosystem Services,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,,,Sean Babbington,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,,,Touch base & EO 13766 implementation,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,Erin Mew,,CEQ Office Space,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,Michael R. Drummond,,Travel to the Hill,,,,,
Calendar,Council on Environmental Quality,2/15/17,Ted A. Boling,Mike R. Jolicoeur,,FE: Meeting to discuss Alaska TTXs,,,,,
Calendar,Council on Environmental Quality,2/16/17,Ted A. Boling,,,"Invitation: Internatl OMB/CEQ/FPISC review of Puerto Rico and FAST-41 … @ Thu Feb 16, 2017 11am - 12pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/16/17,Ted A. Boling,,,"Invitation: NCTC online NEPA class - call with CEQ @ Thu Feb 16, 2017 2pm - 3pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/16/17,Ted A. Boling,,,Banks,,,,,
Calendar,Council on Environmental Quality,2/16/17,Ted A. Boling,,,Collateral Briefing,,,,,
Calendar,Council on Environmental Quality,2/16/17,Ted A. Boling,Michael R. Drummond,,Discuss proposed revisions to FirstNet NEPA procedures,,,,,
Calendar,Council on Environmental Quality,2/17/17,Ted A. Boling,,,"Updated Invitation: Scoping Meetings Call w/CEQ @ 11 am PT/2 pm ET @ Fri Feb 17, 2017 12pm - 1 pm (MST)",,,,,
Calendar,Council on Environmental Quality,2/17/17,Ted A. Boling,,,Dominion Virginia Power Line,,,,,
Calendar,Council on Environmental Quality,2/17/17,Ted A. Boling,,,Michael Bean's Retirement Lunch,,,,,
Calendar,Council on Environmental Quality,2/2/17,Ted A. Boling,,,"Updated Invitation: FPISC update @ Thu Feb 2, 2017 3pm - 4pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/2/17,Ted A. Boling,,,NEPA Survey Course for NAEP/Navy,,,,,
Calendar,Council on Environmental Quality,2/2/17,Ted A. Boling,Marna A. McDermott,,NEPA and planning,,,,,
Calendar,Council on Environmental Quality,2/21/17,Ted A. Boling,,,ECCR,,,,,
Calendar,Council on Environmental Quality,2/21/17,Ted A. Boling,,,FWS NEPA online,,,,,
Calendar,Council on Environmental Quality,2/21/17,Ted A. Boling,Angela F. Colamaria,,Infrastructure Working Group Meeting,,,,,
Calendar,Council on Environmental Quality,2/22/17,Ted A. Boling,,,Craig Jensen,,,,,
Calendar,Council on Environmental Quality,2/22/17,Ted A. Boling,,,Steve Leathery,,,,,
Calendar,Council on Environmental Quality,2/22/17,Ted A. Boling,Courtenay M. Rickards,,Domestic Resilience Group Policy Coordination Committee Meeting,,,,,
Calendar,Council on Environmental Quality,2/22/17,Ted A. Boling,Michael R. Drummond,,DOMESTIC RESILIENCE GROUP POLICY COORDINATION COMMITTEE MEETING,,,,,
Calendar,Council on Environmental Quality,2/23/17,Ted A. Boling,,,"Invitation: Prep Meeting for Friday Meeting with DJ @ Thu Feb 23, 2017 3pm - 4pm (EST)",,,,,
Calendar,Council on Environmental Quality,2/23/17,Ted A. Boling,,,Louise Milkman,,,,,
Calendar,Council on Environmental Quality,2/23/17,Ted A. Boling,,,PIV,,,,,
Calendar,Council on Environmental Quality,2/24/17,Ted A. Boling,"Jim Cason, Ted Boling",,"Invitation: Meeting with Jim Cason and Ted Boling @ Fri Feb 24, 2017 4pm - 4:30pm (EST)",,,,,
